timestamp          , region       , service_type, usage_units, provisioned_capacity, cost_usd, availability_pct, is_holiday, economic_growth_index, marketing_index, it_spending_growth
2022-10-20 19:00:00, East Asia    , Compute     ,      201.57,               449.29,   290.04,            97.56,        0.0,                  4.43,            1.62,               2.2
2022-12-16 23:00:00, East Asia    , Compute     ,      299.61,               176.43,    68.3 ,            98.81,        0.0,                  7.57,            1.16,               3.74
2022-05-24 14:00:00, Central India, Compute     ,      308.88,               154.01,    87.67,            96.12,        0.0,                  4.68,            5.47,               2.94
2021-12-09 18:00:00, West US      , Storage     ,      108.89,               367.44,   149.83,            96.12,        0.0,                  6.65,            6.43,               2.85
2022-08-29 21:00:00, East US      , Compute     ,      255.91,               377.75,   243.27,            98.69,        0.0,                  3.74,            3.01,               9.3
2021-05-12 08:00:00, UK South     , Compute     ,      170.73,               153.33,   224.84,            96.98,        0.0,                  3.78,            6.13,               6.25
2021-03-08 01:00:00, UK South     , Compute     ,      428.91,               582.09,    68.85,            95.16,        0.0,                  5.81,            9.06,               9.25
2021-06-14 07:00:00, West US      , Compute     ,      191.11,               582.09,    86.27,            97.54,        0.0,                  4.2 ,            6.64,               5.61
2023-09-25 11:00:00, East Asia    , Storage     ,      427.42,               175.52,   181.07,            98.69,        0.0,                  3.25,            6.64,               3.17
2023-03-22 17:00:00, East US      , Storage     ,      242.85,               255.72,   102.65,            99.88,        0.0,                  7.63,            2.3 ,               9.18
2021-02-12 13:00:00, East US      , Storage     ,      376.96,               500.12,   138.25,            95.19,        1.0,                  3.28,            2.52,               8.26
2022-05-01 13:00:00, UK South     , Compute     ,      279.53,               361.62,   156.25,            97.7 ,        0.0,                  6.59,            5.36,               3.13
2022-03-27 05:00:00, East Asia    , Storage     ,      329.88,               194.07,   186.39,            97.25,        0.0,                  4.66,            5.17,              11.24
2022-07-14 01:00:00, West US      , Compute     ,      227.91,               151.42,    90.29,            96.21,        0.0,                  7.67,            5.7 ,               5.09
2023-04-23 19:00:00, East US      , Storage     ,      395.69,               315.39,    65.68,            98.19,        0.0,                  7.93,            5.57,               8.55
2021-11-29 21:00:00, West US      , Compute     ,      241.34,               268.71,   131.6 ,            95.82,        0.0,                  4.68,            4.07,               2.32
2022-02-08 20:00:00, West US      , Storage     ,      255.86,               427.96,    42.97,            96.42,        0.0,                  5.96,            7.26,               6.43
2022-06-26 06:00:00, East US      , Storage     ,      282.96,               562.62,   167.49,            98.91,        0.0,                  6.86,            2.91,              11.64
2021-10-14 09:00:00, East US      , Storage     ,      424.32,               223.87,   255.09,            97.3 ,        1.0,                  3.62,            8.67,              10.87
2021-08-25 11:00:00, UK South     , Compute     ,      346.72,               527.62,    53.31,            97.3 ,        1.0,                  6.55,            2.75,               4.21
2021-01-07 17:00:00, UK South     , Compute     ,      207.12,               560.23,    51.56,            96.93,        0.0,                  6.55,            4.74,              10.79
2021-06-29 01:00:00, East US      , Compute     ,      351.64,               551.0 ,    42.46,            97.32,        0.0,                  3.89,            2.9 ,               4.93
2021-02-11 11:00:00, Central India, Storage     ,      339.09,               576.04,   257.4 ,            96.5 ,        0.0,                  7.19,            6.57,              10.52
2022-04-26 14:00:00, UK South     , Compute     ,      468.96,               521.05,    42.6 ,            96.18,        0.0,                  3.58,            5.3 ,               9.29
2021-11-14 21:00:00, Central India, Compute     ,      428.64,               396.74,   295.37,            99.61,        0.0,                  5.84,            4.37,               5.52
2023-12-14 03:00:00, East US      , Compute     ,      341.35,               396.74,   120.33,            98.74,        0.0,                  4.7 ,            5.28,              11.11
2021-02-12 08:00:00, UK South     , Compute     ,      203.68,               345.84,   112.05,            96.67,        0.0,                  5.36,            4.79,               6.85
2023-10-08 13:00:00, West US      , Compute     ,      400.81,               536.31,    45.66,            98.5 ,        0.0,                  4.5 ,            8.7 ,               5.18
2023-08-09 23:00:00, East US      , Compute     ,      308.84,               250.7 ,   183.98,            99.83,        0.0,                  4.5 ,            2.12,               4.8
2023-10-09 12:00:00, East Asia    , Storage     ,      493.37,               179.63,   184.05,            95.37,        0.0,                  4.5 ,            8.14,              11.39
2023-08-27 15:00:00, Central India, Storage     ,      161.38,               170.41,   158.27,            96.32,        0.0,                  4.12,            6.9 ,               9.59
2023-10-10 12:00:00, East US      , Compute     ,       85.85,               170.41,   107.09,            96.0 ,        0.0,                  5.04,            4.13,               9.59
2021-12-22 09:00:00, East US      , Storage     ,       81.45,               480.74,   123.2 ,            99.35,        0.0,                  4.37,            9.27,               4.54
2022-12-21 06:00:00, UK South     , Storage     ,      338.01,               348.82,   109.74,            95.9 ,        0.0,                  4.19,            2.59,               4.12
2022-01-22 04:00:00, UK South     , Compute     ,      472.67,               348.82,   139.32,            96.54,        0.0,                  6.14,            3.79,               4.44
2023-06-06 07:00:00, UK South     , Compute     ,       50.87,               438.81,   115.7 ,            97.72,        0.0,                  3.23,            4.37,               3.11
2022-05-23 17:00:00, East Asia    , Storage     ,      376.6 ,               119.22,   209.14,            98.11,        0.0,                  6.94,            6.83,               6.85
2023-06-05 03:00:00, UK South     , Compute     ,      345.68,               384.11,   102.82,            99.04,        0.0,                  5.73,            9.52,               2.41
2021-09-21 19:00:00, East US      , Storage     ,      345.68,               299.21,   118.23,            97.04,        0.0,                  7.14,            6.34,               2.12
2021-12-24 03:00:00, UK South     , Storage     ,      209.93,               588.93,   141.93,            97.67,        1.0,                  4.07,            8.71,               8.18
2023-11-11 12:00:00, West US      , Storage     ,      419.22,               353.78,    21.11,            99.83,        0.0,                  6.55,            9.14,               2.88
2021-10-28 08:00:00, UK South     , Compute     ,       70.12,               376.13,   157.78,            96.49,        0.0,                  5.1 ,            5.2 ,              10.45
2021-08-08 20:00:00, East Asia    , Storage     ,       70.12,               456.18,    91.63,            96.24,        0.0,                  3.38,            5.25,               3.07
2023-02-08 14:00:00, West US      , Compute     ,      170.18,               342.27,    35.72,            98.55,        0.0,                  6.76,            3.25,               7.43
2022-11-17 08:00:00, East US      , Compute     ,      264.58,               212.28,   275.09,            98.86,        0.0,                  6.81,            6.41,               8.76
2022-11-07 16:00:00, East US      , Compute     ,      420.19,               368.64,   110.28,            97.07,        0.0,                  4.35,            2.08,               4.29
2021-11-30 14:00:00, Central India, Compute     ,      172.11,               572.13,   139.3 ,            96.06,        0.0,                  7.58,            6.71,              10.88
2021-04-18 00:00:00, West US      , Compute     ,      133.34,               304.96,   251.66,            98.89,        0.0,                  6.82,            9.04,               6.81
2023-06-30 07:00:00, Central India, Storage     ,      356.59,               439.82,    66.7 ,            98.35,        0.0,                  6.82,            7.85,               5.15
2021-03-26 11:00:00, West US      , Compute     ,      290.03,               439.82,   258.09,            99.38,        0.0,                  6.82,            6.84,              11.01
2021-04-23 07:00:00, West US      , Compute     ,      281.48,               514.96,    87.66,            99.22,        0.0,                  5.2 ,            8.55,              10.58
2023-12-23 07:00:00, East Asia    , Compute     ,      165.55,               429.52,   184.93,            96.03,        0.0,                  4.46,            7.57,               9.1
2022-10-05 14:00:00, Central India, Compute     ,       65.7 ,               468.0 ,   211.99,            99.16,        0.0,                  4.09,            5.77,               4.9
2021-08-08 02:00:00, East Asia    , Compute     ,      234.62,               568.24,   273.4 ,            95.88,        0.0,                  5.0 ,            5.69,               5.9
2023-07-06 18:00:00, West US      , Storage     ,       97.95,               579.88,   190.14,            99.32,        0.0,                  3.13,            1.96,               8.9
2021-10-08 16:00:00, East US      , Compute     ,      457.7 ,               584.48,   146.9 ,            98.85,        0.0,                  5.01,            4.91,               3.85
2021-01-17 07:00:00, West US      , Compute     ,       68.56,               412.82,   180.24,            97.85,        0.0,                  4.11,            5.7 ,               6.95
2022-08-06 18:00:00, East Asia    , Storage     ,      244.24,               292.36,    76.58,            98.21,        0.0,                  4.32,            5.23,               9.38
2022-06-12 18:00:00, Central India, Compute     ,       73.51,               166.58,   212.94,            95.52,        0.0,                  3.41,            7.98,               8.58
2021-09-03 12:00:00, Central India, Storage     ,       92.99,               292.77,    72.33,            95.2 ,        0.0,                  5.94,            2.45,               9.2
2021-05-29 09:00:00, East Asia    , Storage     ,      346.49,               571.48,   176.03,            96.65,        0.0,                  5.36,            8.15,              10.92
2021-09-15 16:00:00, Central India, Storage     ,      341.2 ,               544.9 ,   201.33,            99.11,        0.0,                  6.75,            7.67,              11.68
2023-03-23 19:00:00, UK South     , Storage     ,       64.87,               361.83,   271.6 ,            97.33,        0.0,                  7.94,            9.11,               6.58
2023-08-03 06:00:00, East US      , Compute     ,       50.51,               368.5 ,   146.05,            96.12,        0.0,                  3.6 ,            4.36,               2.6
2021-12-16 16:00:00, East US      , Compute     ,       85.47,               254.46,   237.09,            99.17,        0.0,                  3.6 ,            2.59,              10.34
2022-06-29 11:00:00, East US      , Storage     ,      393.35,               327.25,    66.91,            96.14,        0.0,                  6.41,            7.83,               3.18
2022-09-29 01:00:00, Central India, Storage     ,      313.06,               457.22,    63.74,            99.08,        0.0,                  4.19,            6.3 ,               4.19
2023-03-24 00:00:00, Central India, Compute     ,       67.15,               301.22,   166.94,            97.26,        0.0,                  3.15,            7.41,               8.53
2023-09-11 07:00:00, West US      , Storage     ,      269.64,               193.99,   186.98,            97.32,        1.0,                  3.55,            9.97,               9.46
2021-04-13 06:00:00, West US      , Storage     ,      370.41,               370.43,   197.06,            96.36,        0.0,                  5.17,            2.75,               8.95
2022-05-09 05:00:00, East US      , Storage     ,      441.03,               212.67,   228.79,            99.5 ,        0.0,                  5.15,            4.7 ,               6.38
2022-08-08 23:00:00, UK South     , Compute     ,      470.32,               587.14,   102.58,            95.44,        0.0,                  7.86,            2.73,              11.18
2023-11-24 12:00:00, West US      , Storage     ,      197.35,               295.17,   194.33,            95.72,        0.0,                  5.33,            8.75,              10.32
2023-03-08 11:00:00, West US      , Compute     ,      111.12,               554.83,    72.68,            98.18,        1.0,                  6.39,            1.15,               8.64
2022-04-02 21:00:00, Central India, Compute     ,      156.62,               212.78,    81.32,            99.25,        0.0,                  5.46,            2.22,               6.41
2022-04-02 21:00:00, UK South     , Compute     ,      399.28,               194.6 ,    38.85,            95.48,        1.0,                  4.35,            3.23,               6.64
2022-02-11 18:00:00, East US      , Storage     ,      487.17,               408.45,   229.16,            95.48,        0.0,                  3.53,            7.94,               3.76
2021-07-30 16:00:00, West US      , Storage     ,      259.88,               489.69,   161.96,            98.71,        0.0,                  7.3 ,            6.66,               9.8
2022-09-15 20:00:00, UK South     , Compute     ,      187.41,               383.38,    86.69,            97.91,        0.0,                  3.76,            4.5 ,              10.66
2021-12-04 22:00:00, UK South     , Compute     ,      243.14,               214.9 ,   175.75,            97.43,        1.0,                  3.48,            2.43,              10.27
2022-07-28 21:00:00, East US      , Compute     ,      187.17,               118.95,   119.19,            96.61,        1.0,                  4.07,            3.89,               7.47
2023-04-23 16:00:00, UK South     , Storage     ,      165.42,               409.14,   254.42,            96.76,        0.0,                  3.01,            7.69,              10.38
2022-12-27 12:00:00, UK South     , Storage     ,      317.19,               165.52,   167.88,            98.37,        0.0,                  3.36,            7.69,               9.9
2023-09-18 09:00:00, UK South     , Compute     ,       57.08,               271.59,    28.35,            95.33,        0.0,                  6.18,            5.16,              10.32
2021-01-21 22:00:00, West US      , Compute     ,      166.8 ,               437.89,   295.83,            97.92,        0.0,                  4.22,            6.48,              11.82
2021-10-15 22:00:00, East US      , Storage     ,      347.62,               149.01,    40.8 ,            96.39,        0.0,                  4.69,            9.22,              10.1
2022-06-13 13:00:00, UK South     , Compute     ,       64.43,               163.63,   214.87,            97.33,        0.0,                  7.18,            3.25,               4.71
2023-11-27 06:00:00, UK South     , Storage     ,       87.44,               130.83,   142.43,            97.79,        0.0,                  6.86,            5.03,              10.21
2023-08-30 18:00:00, West US      , Storage     ,      182.03,               598.04,    89.81,            99.43,        0.0,                  5.46,            3.79,               5.76
2023-05-20 16:00:00, East US      , Compute     ,      445.01,               293.54,   209.41,            97.9 ,        0.0,                  6.06,            5.2 ,               7.16
2021-01-09 14:00:00, Central India, Compute     ,      394.2 ,               552.9 ,    55.25,            96.14,        1.0,                  3.43,            7.27,               9.96
2023-06-16 14:00:00, Central India, Storage     ,       59.97,               246.79,   260.31,            95.4 ,        0.0,                  6.81,            5.34,               5.17
2023-07-21 17:00:00, East US      , Storage     ,      275.77,               476.6 ,    90.17,            98.13,        0.0,                  5.58,            8.51,               2.26
2023-07-21 17:00:00, UK South     , Storage     ,      173.61,               209.53,   121.21,            97.73,        0.0,                  5.85,            5.98,               9.18
2023-09-03 19:00:00, East US      , Storage     ,      341.89,               349.16,   197.14,            98.36,        0.0,                  6.33,            4.47,              11.02
2023-01-15 12:00:00, East US      , Storage     ,      374.7 ,               512.31,    20.29,            97.3 ,        0.0,                  5.5 ,            8.04,              11.28
2023-10-08 02:00:00, East US      , Compute     ,      438.29,               508.17,   152.37,            99.13,        0.0,                  5.61,            4.88,               9.99
2022-10-26 22:00:00, Central India, Storage     ,      263.94,               508.17,   270.39,            99.6 ,        0.0,                  5.5 ,            4.88,              11.35
2022-12-20 15:00:00, East US      , Storage     ,      497.5 ,               511.87,   210.52,            95.2 ,        0.0,                  5.48,            9.95,              10.21
2023-03-10 22:00:00, Central India, Storage     ,      490.99,               205.74,   128.61,            98.72,        0.0,                  6.75,            8.08,               2.3
2023-09-19 08:00:00, UK South     , Compute     ,      446.98,               341.11,   204.92,            95.18,        0.0,                  5.14,            8.7 ,               5.5
2021-12-31 19:00:00, Central India, Compute     ,      308.69,               342.44,   282.24,            97.23,        0.0,                  3.01,            6.34,               5.36
2023-06-15 20:00:00, UK South     , Storage     ,      229.1 ,               545.25,    72.59,            97.31,        0.0,                  6.06,            4.13,               4.19
2022-05-31 23:00:00, UK South     , Storage     ,      213.97,               248.45,   168.91,            98.48,        0.0,                  7.76,            9.92,               9.98
2023-07-23 11:00:00, Central India, Compute     ,       55.46,               565.75,    85.73,            96.76,        0.0,                  4.28,            3.2 ,               7.2
2023-01-26 21:00:00, West US      , Compute     ,      162.13,               565.75,   259.18,            99.1 ,        0.0,                  7.08,            8.86,              10.36
2022-09-10 12:00:00, East Asia    , Compute     ,      373.46,               434.89,   221.89,            96.71,        0.0,                  7.08,            9.2 ,               8.01
2021-11-12 14:00:00, East US      , Compute     ,      321.63,               234.44,   244.3 ,            96.71,        0.0,                  6.21,            8.36,               7.91
2021-09-23 14:00:00, East Asia    , Storage     ,      462.39,               305.15,   284.04,            96.11,        1.0,                  7.45,            2.03,               5.84
2023-08-28 20:00:00, East US      , Compute     ,       72.51,               454.9 ,    85.05,            98.42,        0.0,                  6.86,            8.69,               9.9
2021-03-11 22:00:00, East US      , Storage     ,      119.87,               356.37,    33.64,            95.38,        1.0,                  7.42,            6.97,               8.83
2023-03-29 18:00:00, UK South     , Storage     ,      405.16,               565.35,   101.45,            96.82,        1.0,                  3.05,            7.13,               5.39
2023-05-26 20:00:00, East US      , Compute     ,      211.33,               565.35,   131.76,            96.33,        1.0,                  3.94,            8.08,              11.94
2021-02-14 03:00:00, East US      , Compute     ,      103.26,               382.2 ,   195.04,            96.15,        0.0,                  5.12,            5.41,               6.63
2023-08-19 12:00:00, Central India, Compute     ,      498.4 ,               543.33,   243.36,            95.3 ,        0.0,                  7.24,            3.4 ,               5.17
2022-11-06 22:00:00, East Asia    , Compute     ,      404.26,               432.78,   117.94,            95.95,        0.0,                  7.19,            6.17,               8.88
2022-02-18 02:00:00, Central India, Storage     ,      404.26,               423.66,   152.58,            97.23,        0.0,                  3.93,            1.98,               4.23
2023-03-26 05:00:00, East US      , Storage     ,      404.26,               223.19,   239.93,            97.52,        0.0,                  3.93,            7.07,              10.31
2023-07-19 03:00:00, UK South     , Storage     ,      356.27,               297.43,    83.09,            97.52,        1.0,                  7.17,            5.35,               8.8
2022-03-27 17:00:00, Central India, Compute     ,      405.49,               441.65,    80.8 ,            98.25,        1.0,                  5.71,            5.52,              10.7
2022-04-01 01:00:00, Central India, Storage     ,      416.84,               545.9 ,   184.99,            96.68,        0.0,                  6.13,            2.67,               5.29
2022-02-12 21:00:00, West US      , Compute     ,       88.13,               257.77,   142.1 ,            96.84,        0.0,                  7.05,            1.37,              10.54
2022-11-11 16:00:00, East US      , Storage     ,      330.34,               207.74,   285.69,            98.91,        0.0,                  4.06,            6.5 ,               7.01
2022-04-14 20:00:00, UK South     , Compute     ,       53.05,               396.85,   119.97,            97.76,        0.0,                  3.68,            6.93,               2.59
2021-04-23 05:00:00, Central India, Storage     ,       69.56,               396.85,   232.68,            97.76,        0.0,                  7.3 ,            5.48,               3.94
2021-04-23 05:00:00, Central India, Storage     ,      456.79,               457.27,   183.27,            96.8 ,        0.0,                  3.56,            7.89,               4.18
2021-06-01 03:00:00, Central India, Compute     ,      287.4 ,               451.57,    35.28,            99.14,        0.0,                  3.44,            6.07,               9.68
2023-12-17 19:00:00, East US      , Storage     ,      287.4 ,               277.48,    43.63,            98.69,        1.0,                  4.39,            8.63,               4.03
2022-11-05 05:00:00, West US      , Storage     ,      427.33,               546.34,    76.88,            99.45,        0.0,                  4.58,            3.59,               7.62
2022-02-28 21:00:00, Central India, Compute     ,      477.31,               351.09,    60.08,            99.78,        0.0,                  4.21,            3.19,               8.53
2023-06-29 18:00:00, West US      , Compute     ,      441.21,               422.88,   112.22,            95.04,        0.0,                  6.71,            3.35,               9.74
2023-01-22 23:00:00, East Asia    , Compute     ,      267.49,               204.79,   182.12,            95.44,        1.0,                  7.87,            1.27,               9.84
2023-12-24 17:00:00, East Asia    , Compute     ,      267.49,               308.67,   188.66,            98.37,        1.0,                  4.0 ,            9.11,               9.18
2022-03-03 06:00:00, East Asia    , Compute     ,      119.52,               531.21,   184.57,            96.95,        0.0,                  4.0 ,            9.99,               4.13
2022-10-17 11:00:00, East Asia    , Storage     ,      230.14,               206.47,    52.93,            99.1 ,        0.0,                  3.22,            8.35,               7.43
2023-07-05 16:00:00, East Asia    , Compute     ,      214.92,               295.29,   188.06,            95.06,        0.0,                  3.59,            4.71,               4.9
2022-04-24 22:00:00, East US      , Storage     ,      301.81,               259.04,   134.73,            99.03,        0.0,                  5.58,            4.19,               9.75
2023-09-18 16:00:00, East US      , Storage     ,      349.48,               175.56,   272.85,            95.68,        0.0,                  8.0 ,            7.97,               9.48
2021-02-24 10:00:00, UK South     , Compute     ,      349.48,               244.86,   275.36,            96.45,        0.0,                  7.75,            5.59,               4.3
2021-10-10 08:00:00, West US      , Storage     ,      377.77,               216.39,   235.09,            99.85,        0.0,                  3.56,            9.46,               8.41
2023-07-17 00:00:00, West US      , Storage     ,      339.69,               561.8 ,   216.87,            95.26,        0.0,                  4.2 ,            3.52,               2.58
2022-01-30 18:00:00, UK South     , Compute     ,      200.79,               470.54,    52.19,            96.75,        0.0,                  7.73,            3.91,               9.69
2021-11-10 14:00:00, UK South     , Storage     ,       65.53,               258.05,    43.71,            95.42,        0.0,                  3.75,            9.99,               9.8
2023-11-20 13:00:00, East Asia    , Compute     ,      179.66,               481.67,   255.43,            99.27,        0.0,                  6.71,            9.8 ,               5.47
2023-07-04 23:00:00, UK South     , Compute     ,      395.8 ,               111.07,   139.56,            98.52,        0.0,                  3.01,            8.97,              10.06
2021-08-19 10:00:00, Central India, Compute     ,      142.37,               363.26,   146.38,            99.0 ,        0.0,                  6.16,            4.64,              10.58
2023-05-17 13:00:00, West US      , Storage     ,      370.48,               225.17,   257.38,            97.64,        0.0,                  5.47,            8.54,               3.9
